Rank_x,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Rank_y,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year
117,University of Virginia (Main campus)United StatesCoursesEnquireAdmissions Support,"24,879",9.0,13%,52 : 48,117,60.6,52.1,43.3,90.7,41.9,50.2,2021
=118,University of AdelaideAustraliaCoursesExplore,"21,054",30.7,29%,49 : 51,=118,60.4,33.7,42.9,96.0,68.5,92.3,2021
=118,Free University of BerlinGermanyCoursesVerify Documents,"36,380",59.2,22%,59 : 41,=118,60.4,56.8,64.4,58.4,42.0,73.3,2021
120,Georgetown UniversityUnited StatesCoursesEnquireAdmissions Support,"16,451",8.5,19%,55 : 45,120,60.1,54.5,33.8,94.7,65.7,47.2,2021
=121,Case Western Reserve UniversityUnited StatesCoursesEnquireAdmissions Support,"10,774",9.1,23%,50 : 50,=121,60.0,47.3,41.0,95.0,40.7,53.5,2021
=121,Maastricht UniversityNetherlandsCoursesExplore,"17,326",18.4,54%,60 : 40,=121,60.0,39.9,49.1,79.7,82.1,98.0,2021
=121,University of SheffieldUnited KingdomCoursesEnquire,"26,765",15.5,35%,52 : 48,=121,60.0,45.0,47.4,81.8,46.5,87.7,2021
=124,University of ArizonaUnited StatesCoursesEnquire,"39,635",18.0,9%,52 : 48,=124,59.8,47.6,51.7,85.6,50.3,40.4,2021
=124,Rice UniversityUnited StatesCoursesEnquireAdmissions Support,"6,805",9.2,28%,42 : 58,=124,59.8,48.0,38.4,89.9,42.9,77.3,2021
126,City University of Hong KongHong KongCoursesExplore,"9,510",10.8,51%,54 : 46,126,59.7,44.1,47.2,78.6,50.3,99.8,2021
=127,University of OsloNorwayCoursesVerify Documents,"20,737",12.2,17%,62 : 38,=127,59.4,39.5,44.2,91.5,40.4,78.1,2021
=127,University of SouthamptonUnited KingdomCoursesEnquire,"23,498",14.3,35%,53 : 47,=127,59.4,39.4,42.5,89.0,41.2,94.5,2021
129,Hong Kong Polytechnic UniversityHong KongCoursesExplore,"22,778",25.4,27%,51 : 49,129,59.1,41.1,47.5,81.0,41.7,96.1,2021
130,University of GöttingenGermanyCoursesVerify Documents,"30,894",28.0,13%,51 : 49,130,59.0,47.6,48.5,82.1,36.4,61.8,2021
=131,University of AlbertaCanadaCoursesEnquire,"32,846",21.5,27%,55 : 45,=131,58.9,46.4,50.4,72.4,60.0,88.2,2021
=131,University of Colorado BoulderUnited StatesCoursesEnquire,"34,481",16.1,11%,44 : 56,=131,58.9,43.8,45.9,91.3,42.0,47.5,2021
=133,University of Pittsburgh-Pittsburgh campusUnited StatesCoursesEnquireAdmissions Support,"26,761",5.7,11%,53 : 47,=133,58.8,45.5,42.8,93.9,40.6,41.7,2021
=133,University of YorkUnited KingdomCoursesEnquire,"16,881",15.0,25%,57 : 43,=133,58.8,39.0,44.8,87.9,35.2,86.0,2021
135,University of HamburgGermanyCoursesExplore,"30,649",58.7,12%,57 : 43,135,58.6,45.0,53.9,74.1,93.7,58.7,2021
=136,Lancaster UniversityUnited KingdomCoursesEnquireAdmissions Support,"13,047",12.4,37%,51 : 49,=136,58.4,36.8,40.5,90.9,35.2,94.6,2021
=136,Université de ParisFranceCoursesExplore,"63,219",17.7,18%,64 : 36,=136,58.4,50.8,38.2,86.3,33.3,66.4,2021
=136,Radboud University NijmegenNetherlandsCoursesExplore,"20,752",17.3,16%,57 : 43,=136,58.4,33.7,50.0,88.6,48.0,73.9,2021
139,The University of Western AustraliaAustraliaCoursesEnquire,"18,253",22.5,29%,48 : 52,139,58.3,32.4,43.1,90.4,59.1,94.6,2021
=140,Indiana UniversityUnited StatesCoursesEnquire,"67,054",15.0,15%,51 : 49,=140,58.2,49.8,48.8,77.8,51.7,53.6,2021
=140,University of MannheimGermanyCoursesVerify Documents,"10,593",78.3,18%,,=140,58.2,41.4,49.7,82.7,58.8,60.6,2021
=140,Technical University of BerlinGermanyCourses,"22,695",60.8,26%,34 : 66,=140,58.2,51.2,55.9,62.3,93.9,66.9,2021
=140,Ulm UniversityGermanyCoursesVerify Documents,"10,503",28.4,13%,49 : 51,=140,58.2,40.0,37.9,94.9,82.0,57.4,2021
=140,University of WürzburgGermanyCourses,"23,887",38.2,10%,56 : 44,=140,58.2,39.3,43.0,90.5,70.2,61.5,2021
=145,University of CologneGermanyCoursesVerify Documents,"34,630",35.0,18%,,=145,58.0,42.9,44.8,81.6,79.6,69.6,2021
=145,University of OttawaCanadaCoursesEnquireExplore,"35,140",24.6,20%,58 : 42,=145,58.0,41.1,41.3,87.1,46.0,79.9,2021
=147,University of AucklandNew ZealandCoursesExplore,"32,596",22.6,31%,56 : 44,=147,57.8,30.6,44.8,87.5,75.4,94.5,2021
=147,University of RochesterUnited StatesCoursesEnquireAdmissions Support,"10,017",4.9,34%,49 : 51,=147,57.8,45.4,35.2,91.2,41.4,69.8,2021
=149,Durham UniversityUnited KingdomCoursesEnquireAdmissions Support,"17,090",15.2,31%,55 : 45,=149,57.6,44.8,49.7,71.2,37.3,92.7,2021
=149,University of GenevaSwitzerlandCourses,"17,271",16.0,38%,61 : 39,=149,57.6,35.2,45.4,80.6,72.8,98.3,2021
151,Pohang University of Science and Technology (POSTECH)South KoreaCourses,"3,034",9.7,3%,24 : 76,151,57.5,53.8,51.5,70.4,97.9,30.7,2021
=152,University of FloridaUnited StatesCoursesEnquireAdmissions Support,"46,632",16.1,9%,56 : 44,=152,57.4,54.2,60.4,61.9,56.1,40.5,2021
=152,Pompeu Fabra UniversitySpainCoursesVerify Documents,"11,914",22.9,13%,60 : 40,=152,57.4,36.9,39.9,93.8,50.9,65.8,2021
=152,TU DresdenGermanyCoursesVerify Documents,"31,103",32.9,15%,43 : 57,=152,57.4,47.2,48.6,73.1,96.7,57.6,2021
=155,University of Cape TownSouth AfricaCoursesExplore,"21,647",11.7,17%,54 : 46,=155,57.3,30.1,42.1,90.9,89.0,81.6,2021
=155,Trinity College DublinIrelandCoursesExplore,"17,154",21.4,32%,59 : 41,=155,57.3,40.5,44.4,78.3,50.7,94.8,2021
=155,Tufts UniversityUnited StatesCoursesEnquireAdmissions Support,"11,024",9.7,16%,55 : 45,=155,57.3,46.7,33.0,95.5,38.5,50.0,2021
=158,Bielefeld UniversityGermanyCourses,"24,890",71.5,8%,57 : 43,=158,56.9,34.4,42.7,94.8,66.5,48.3,2021
=158,University of NottinghamUnited KingdomCoursesEnquire,"30,798",15.0,29%,54 : 46,=158,56.9,42.0,42.4,80.0,38.7,87.8,2021
=160,University of LeedsUnited KingdomCoursesEnquire,"31,461",14.3,30%,60 : 40,=160,56.8,43.2,46.2,74.7,38.5,88.5,2021
=160,University of SussexUnited KingdomCoursesEnquire,"16,259",15.8,37%,55 : 45,=160,56.8,32.7,38.1,92.3,35.1,93.9,2021
=160,University of Technology SydneyAustraliaCoursesExplore,"26,529",41.7,36%,51 : 49,=160,56.8,35.3,44.3,81.1,53.7,97.0,2021
163,University of LiverpoolUnited KingdomCoursesEnquire,"25,168",14.6,33%,55 : 45,163,56.7,35.2,38.1,89.5,37.9,92.6,2021
=164,Université Catholique de LouvainBelgiumCoursesVerify Documents,"26,462",39.7,20%,53 : 47,=164,56.5,38.1,51.5,73.7,57.9,80.5,2021
=164,University of ViennaAustriaCourses,"32,650",38.5,28%,65 : 35,=164,56.5,46.1,56.4,59.1,36.3,94.6,2021
166,"Rutgers, the State University of New JerseyUnited StatesCoursesEnquireAdmissions Support","44,264",11.0,17%,52 : 48,166,56.4,47.3,48.5,75.8,40.4,52.5,2021
=167,University of BolognaItalyCoursesExplore,"67,298",24.4,12%,56 : 44,=167,56.3,50.8,36.6,83.6,44.1,51.6,2021
=167,Korea UniversitySouth KoreaCoursesExplore,"22,666",16.6,22%,,=167,56.3,48.7,50.1,67.6,96.2,53.4,2021
169,University of Alabama at BirminghamUnited StatesCoursesExplore,"18,211",17.3,6%,63 : 37,169,56.2,38.4,35.5,97.4,78.6,38.4,2021
=170,University of AntwerpBelgiumCoursesVerify Documents,"15,272",31.2,17%,55 : 45,=170,56.0,35.3,46.0,80.7,83.0,70.0,2021
=170,University of LeicesterUnited KingdomCoursesEnquire,"15,551",14.7,32%,53 : 47,=170,56.0,30.9,33.6,96.2,37.6,90.7,2021
=170,University of Notre DameUnited StatesCoursesEnquireAdmissions Support,"12,149",10.9,12%,46 : 54,=170,56.0,52.1,45.5,71.5,38.1,57.3,2021
=170,Sant’Anna School of Advanced Studies – PisaItalyCourses,661,10.0,20%,36 : 64,=170,56.0,45.8,39.6,79.9,85.9,57.2,2021
=174,University of ExeterUnited KingdomCoursesExplore,"22,007",17.0,28%,54 : 46,=174,55.9,32.4,38.3,89.9,35.8,91.5,2021
=174,Lomonosov Moscow State UniversityRussian FederationCourses,"28,525",8.4,32%,52 : 48,=174,55.9,80.0,67.6,12.9,97.7,70.7,2021
=176,Northeastern UniversityUnited StatesCoursesEnquireAdmissions Support,"20,711",14.1,36%,48 : 52,=176,55.8,36.7,29.1,98.2,36.5,76.0,2021
=176,Ulsan National Institute of Science and Technology (UNIST)South KoreaCoursesExplore,"3,983",14.3,8%,27 : 73,=176,55.8,34.9,40.7,90.8,85.3,49.1,2021
=178,University of AberdeenUnited KingdomCoursesEnquire,"12,863",16.6,42%,57 : 43,=178,55.7,29.5,34.2,94.4,45.1,95.6,2021
=178,Newcastle UniversityUnited KingdomCoursesEnquireExplore,"24,089",14.6,27%,51 : 49,=178,55.7,31.4,38.2,90.6,40.1,88.0,2021
=178,Paris-Saclay UniversityFranceCourses,"28,618",14.6,16%,55 : 45,=178,55.7,37.3,48.7,80.4,34.5,65.1,2021
181,Scuola Normale Superiore di PisaItalyCourses,557,6.7,11%,29 : 71,181,55.6,55.6,36.3,77.2,34.2,53.5,2021
182,Autonomous University of BarcelonaSpainCoursesExplore,"31,284",12.5,17%,59 : 41,182,55.5,34.7,38.3,91.9,42.1,65.6,2021
183,Stockholm UniversitySwedenCourses,"27,200",19.1,10%,,183,55.3,31.6,49.2,82.5,35.7,71.4,2021
=184,Arizona State University (Tempe)United StatesCoursesExplore,"45,827",19.7,20%,43 : 57,=184,55.2,38.2,47.8,79.1,37.1,62.8,2021
=184,University of CanberraAustraliaCoursesExplore,"10,304",37.4,35%,,=184,55.2,25.5,32.9,99.7,41.2,89.8,2021
186,Queensland University of TechnologyAustraliaCoursesExplore,"35,555",42.0,17%,53 : 47,186,55.1,31.7,37.4,89.4,53.5,83.2,2021
