Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year,Country
24,University of Edinburgh United Kingdom,"25,774",14.1,36%,58:42:00,80.3,68.6,77.2,96.3,36.1,89.8,2016,United Kingdom
25,Northwestern University United States,"18,334",13.8,15%,48:52:00,79.5,69.8,78.4,96.5,81.2,53.9,2016,United States
26,National University of Singapore Singapore,"31,592",15.5,34%,49:51:00,79.2,71.7,84.5,79.4,49.8,96.2,2016,Singapore
27,King’s College London United Kingdom,"21,394",11.4,37%,61:39:00,78.2,64.5,75.8,93.8,40.1,93.8,2016,United Kingdom
28,Karolinska Institute Sweden,"7,774",11.5,22%,70:30:00,77.5,60.6,81.1,92.2,75.8,73.1,2016,Sweden
29,L M U Munich Germany,"35,691",15.5,13%,62:38:00,77.3,70.5,77.4,85.7,100,62.8,2016,Germany
30,New York University United States,"42,056",6.8,19%,55:45:00,77.2,74.7,72.3,95.3,30.4,49.3,2016,United States
31,École Polytechnique Fédérale de Lausanne Switzerland,"9,666",10.5,54%,27 : 73,76.1,61.3,67.5,94.6,65.4,98.6,2016,Switzerland
32,University of Washington United States,"44,020",11.8,13%,53:47:00,75.6,67.1,70,98.6,43.1,51.2,2016,United States
33,University of Melbourne Australia,"40,128",23.7,35%,55:45:00,75.4,62,75.5,86.6,64.6,87.1,2016,Australia
34,University of British Columbia Canada,"50,152",17.6,25%,54:46:00,75.3,60.2,73.2,91.5,42.6,90.5,2016,Canada
35,K U Leuven Belgium,"42,503",41.9,18%,54:46:00,74.8,59.9,76.9,87.3,100,68.6,2016,Belgium
36,University of Illinois at Urbana- Champaign United States,"42,727",18.7,20%,47:53:00,74.5,64.5,81.2,86.8,52.8,45.8,2016,United States
37,Heidelberg University Germany,"28,881",24.5,17%,55:45:00,74.4,68.8,69.6,88.2,68.2,62.8,2016,Germany
38,Mc Gill University Canada,"31,326",13.7,23%,56:44:00,72.6,66.1,72.1,78.9,40.3,85.5,2016,Canada
39,"University of California, San Diego United States","27,233",6.5,11%,48:52:00,72.2,56.9,69.8,98.7,56.7,42.9,2016,United States
40,"University of California, Santa Barbara United States","22,020",27.3,11%,52:48:00,72.2,52.6,66,99.2,90.4,61.5,2016,United States
41,Georgia Institute of Technology United States,"19,967",20.1,26%,31 : 69,72.1,57.8,72.7,86,73.7,71.5,2016,United States
42,Peking University China,"40,148",8.3,14%,,72,77.8,72.4,69.1,100,49.2,2016,China
43,The University of Tokyo Japan,"26,199",5.7,10%,,71.1,81.4,83,60.9,50.8,30.3,2016,Japan
44,"University of California, Davis United States","35,364",13.9,13%,54:46:00,71,60.1,72.7,84.3,57.3,58.4,2016,United States
45,University of Hong Kong Hong Kong,"19,835",17.6,38%,53:47:00,71,64.6,72.8,70.1,53.7,99.5,2016,Hong Kong
46,University of Texas at Austin United States,"49,427",17.4,9%,51:49:00,70.3,59.3,69.7,92.2,63.1,31.7,2016,United States
47,Tsinghua University China,"39,763",13.7,10%,32 : 68,70,73.3,83,58.8,100,39.5,2016,China
48,Wageningen University & Research Netherlands,"9,248",17,21%,56:44:00,70,52.6,66.9,87.8,100,70.3,2016,Netherlands
49,Humboldt University of Berlin Germany,"29,987",52.5,16%,,69.9,63.7,77,73.6,36.1,62.6,2016,Germany
50,University of Wisconsin- Madison United States,"39,655",10.8,11%,51:49:00,69.7,65.1,68.2,86.6,48.5,33,2016,United States
51,Brown University United States,"8,653",10.1,19%,,69.6,62.8,55.7,96.4,31.4,57.8,2016,United States
52,Australian National University Australia,"14,604",19.2,35%,52:48:00,69.5,54.7,77.3,72.3,48,93.3,2016,Australia
53,Technical University of Munich Germany,"35,565",31.5,20%,33 : 67,69.4,61,66,80.1,99.2,63.8,2016,Germany
54,École Normale Supérieure France,"2,400",7.9,20%,46:54:00,69,70.6,47.7,87.1,37.1,85.5,2016,France
55,"Nanyang Technological University, Singapore Singapore","25,028",16.2,33%,48:52:00,68.2,48.4,61.3,85.6,99.9,94.6,2016,Singapore
56,University of Manchester United Kingdom,"34,938",15.3,34%,52:48:00,68.1,58.4,66,77.3,42,87,2016,United Kingdom
57,University of Sydney Australia,"41,868",20.2,28%,57:43:00,68.1,54.3,68.1,77.5,72.4,84.4,2016,Australia
58,University of Amsterdam Netherlands,"24,570",14.4,11%,53:47:00,67.8,52.2,64.7,87.4,62.8,66.5,2016,Netherlands
59,The Hong Kong University of Science and Technology Hong Kong,"11,385",23.8,36%,,67.2,49.4,66.1,82.6,68.1,80.5,2016,Hong Kong
60,The University of Queensland Australia,"34,718",32.7,27%,53:47:00,67,49.2,62.8,82.4,76.7,89.3,2016,Australia
61,Washington University in St Louis United States,"12,528",5.7,17%,0.069444444,67,54.3,55.6,99.2,33.5,44.9,2016,United States
62,Utrecht University Netherlands,"30,779",15.4,7%,59:41:00,66.6,48.1,64.3,88.1,89.1,55.8,2016,Netherlands
63,University of North Carolina at Chapel Hill United States,"26,518",7.3,8%,58:42:00,66.4,58,54.5,95.9,39.4,39,2016,United States
64,Boston University United States,"24,789",8.6,17%,58:42:00,66.1,57.8,49.5,97.7,30.3,51,2016,United States
65,Delft University of Technology Netherlands,"15,920",19.4,25%,26 : 74,65.9,55,73.8,61.5,100,84,2016,Netherlands
66,University of Minnesota United States,"46,825",18,12%,52:48:00,65.9,53.5,61,88,98.5,35.3,2016,United States
67,Leiden University Netherlands,"21,222",17.1,9%,59:41:00,65.7,50.5,63.1,85.2,49.8,64.3,2016,Netherlands
68,University of Southern California United States,"36,534",12.9,20%,52:48:00,65.5,49.3,58.9,93,38,56.3,2016,United States
69,University of Bristol United Kingdom,"17,906",14,25%,53:47:00,64.3,47.6,51.6,91.2,40,82.4,2016,United Kingdom
70,Durham University United Kingdom,"15,489",15.7,24%,54:46:00,63.6,47.9,51.9,87.7,34.4,86.4,2016,United Kingdom
71,Erasmus University Rotterdam Netherlands,"20,580",18.9,17%,48:52:00,63.5,37.2,55.2,95.6,54.6,76.1,2016,Netherlands
72,Free University of Berlin Germany,"33,062",39.3,20%,58:42:00,63.2,57.9,72.2,60.2,35.1,69.2,2016,Germany
73,Monash University Australia,"50,882",40.5,36%,56:44:00,62.8,48.3,59.1,73.3,82.5,87.6,2016,Australia
74,University of Groningen Netherlands,"24,556",25.6,11%,52:48:00,62.4,43.3,56.9,84,92.4,63.9,2016,Netherlands
75,Penn State ( Main campus) United States,"44,501",12.4,12%,46:54:00,62.3,50.4,61.9,80.5,56.2,40.8,2016,United States
76,University of Glasgow United Kingdom,"22,616",16,29%,57:43:00,61.9,41.6,48.3,92.3,31.6,85.8,2016,United Kingdom
77,University of Helsinki Finland,"23,505",15.1,6%,66:34:00,61.9,48.4,60.4,82.1,31.6,51.8,2016,Finland
78,University of Tübingen Germany,"28,327",38.9,12%,58:42:00,61.7,47,59.8,79.3,59.2,58.2,2016,Germany
79,University of Pittsburgh- Pittsburgh campus United States,"26,485",5.8,10%,51:49:00,61.5,50.6,50.3,92.3,39.3,33.9,2016,United States
80,University of Warwick United Kingdom,"18,529",16.6,37%,48:52:00,61.3,47.4,53.1,78.2,37.7,90.3,2016,United Kingdom
81,Uppsala University Sweden,"25,266",18.2,12%,57:43:00,61.2,44.1,61,80.9,39.5,59.6,2016,Sweden
82,University of Copenhagen Denmark,"27,545",4.1,19%,67:33:00,61,49.8,42.7,86.2,45,83.3,2016,Denmark
83,U N S W Sydney Australia,"38,309",25.9,32%,47:53:00,61,40.7,53.9,82.1,50,89.5,2016,Australia
84,University of Freiburg Germany,"26,467",31.2,16%,52:48:00,60.7,47.4,51.1,80.5,100,60.3,2016,Germany
85,Seoul National University South Korea,"26,389",13.9,10%,,60.5,66.5,70.5,50,85.4,30.9,2016,South Korea
86,University of St Andrews United Kingdom,"8,338",12.7,47%,56:44:00,60.4,49.7,47.3,78.8,30.6,92.3,2016,United Kingdom
87,Vanderbilt University United States,"12,161",3.6,9%,52:48:00,60.1,47.8,44.2,95.7,63.2,29.1,2016,United States
88,Kyoto University Japan,"22,809",5.6,7%,,59.9,70.6,69.3,46.6,79,26.1,2016,Japan
89,Maastricht University Netherlands,"15,626",18.9,48%,56:44:00,59.9,37.5,47.7,82.7,95.4,95.5,2016,Netherlands
90,Emory University United States,"12,338",4.5,18%,56:44:00,59.7,48.3,37.1,96.7,48.9,51,2016,United States
91,Lund University Sweden,"28,251",11.5,15%,,59.7,39.7,53.6,81.3,70.4,74.1,2016,Sweden
92,Ohio State University ( Main campus) United States,"51,462",13.4,12%,49:51:00,59.7,51.6,46.6,83.2,53.1,53,2016,United States
93,University of Exeter United Kingdom,"17,755",18.8,28%,54:46:00,59.5,39.4,40,94.3,31.9,87.3,2016,United Kingdom
94,University of Bonn Germany,"32,474",70.4,12%,55:45:00,58.8,45.1,47.5,85.3,-,63.6,2016,Germany
95,Georgetown University United States,"15,408",8.5,14%,53:47:00,58.8,54.4,39.3,82.5,80.7,52.7,2016,United States
96,Mc Master University Canada,"23,823",19.3,15%,53:47:00,58.8,39.8,44.8,84.9,88,76.1,2016,Canada
97,University of Sheffield United Kingdom,"23,311",15.5,31%,50:50:00,58.6,42.4,48.8,80.1,43.4,81.9,2016,United Kingdom
98,Queen Mary University of London United Kingdom,"14,260",14,40%,52:48:00,58.5,34.1,41.3,93.3,36.8,93.5,2016,United Kingdom
99,University of Göttingen Germany,"25,581",25.6,12%,51:49:00,58,49.3,54.5,72.7,31.8,56.4,2016,Germany
100,Michigan State University United States,"44,750",15.7,15%,51:49:00,58,47.3,52.6,76.8,32.2,56.4,2016,United States
101,University of Basel Switzerland,"12,551",17.3,24%,54:46:00,57.9,39.5,33.1,88.3,99.9,94.7,2016,Switzerland
102,École Polytechnique France,"2,429",4.8,30%,0.806944444,57.9,53.5,44.6,64.7,82.3,92.8,2016,France
103,Rice University United States,"6,333",9,26%,44:56:00,57.9,37.9,35.1,99.7,41.7,66.6,2016,United States
104,Trinity College Dublin Ireland,"15,520",22.3,25%,57:43:00,57.9,45.5,46.2,75.8,32.8,90.8,2016,Ireland
105,Dartmouth College United States,"6,178",6.6,16%,47:53:00,57.8,50.7,35.8,93.3,40.8,38.3,2016,United States
106,University of Zurich Switzerland,"26,583",6.5,19%,57:43:00,57.8,49.5,31.5,85.4,44,90.4,2016,Switzerland
107,"University of California, Irvine United States","26,614",16.1,16%,52:48:00,57.7,39.9,41.8,91.6,48.9,59.2,2016,United States
108,Aarhus University Denmark,"23,895",13.6,14%,54:46:00,57.7,36.9,50.7,79.8,68.3,76.8,2016,Denmark
109,University of Mannheim Germany,"11,761",85.8,15%,55:45:00,57.7,34.5,47.7,86.9,85.3,64.6,2016,Germany
110,University of Notre Dame United States,"11,829",13.8,10%,44:56:00,57.6,47.6,48.1,81.7,33.7,47.6,2016,United States
111,The University of Western Australia Australia,"20,851",20.7,27%,50:50:00,57.5,33.4,46.1,83.6,64.5,92.6,2016,Australia
112,R W T H Aachen University Germany,"37,917",27.6,16%,31 : 69,57.2,49.4,56.3,63.2,98.1,54.1,2016,Germany
113,University of Southampton United Kingdom,"20,925",13.5,29%,53:47:00,57.2,39.8,43.6,82,37.5,88.4,2016,United Kingdom
114,Scuola Normale Superiore di Pisa Italy,462,16.5,5%,28 : 72,57.1,54.2,53.1,67.2,52,46.3,2016,Italy
115,University of Montreal Canada,"38,264",20.3,25%,57:43:00,57,46.3,45.5,69.6,92.6,84.2,2016,Canada
116,Pierre and Marie Curie University France,"27,862",8.7,18%,48:52:00,57,52.8,32.7,82.9,37.4,74.1,2016,France
117,Purdue University West Lafayette United States,"39,256",18.1,22%,42:58:00,57,50.2,57.7,63.2,-,66.4,2016,United States
118,Pohang University of Science and Technology ( P O S T E C H) South Korea,"3,055",10.1,4%,0.888888889,56.9,49.1,47.1,76.7,100,33.7,2016,South Korea
119,"University of Maryland, College Park United States","31,331",8.4,9%,48:52:00,56.7,45,42.1,88.2,32.3,43.5,2016,United States
120,Ghent University Belgium,"32,166",34.1,9%,57:43:00,56.6,42.1,54.5,71.2,88.3,54.2,2016,Belgium
121,University of Birmingham United Kingdom,"25,295",16.4,23%,54:46:00,56.2,39.4,41.8,82.7,34.7,82,2016,United Kingdom
122,University of Bern Switzerland,"14,708",22.5,14%,54:46:00,56.1,40,42.5,76.6,82.9,83.7,2016,Switzerland
123,University of Cape Town South Africa,"20,040",12.1,18%,53:47:00,56.1,34.9,38.7,85.6,92.7,80.2,2016,South Africa
124,University of Florida United States,"50,095",18.7,9%,54:46:00,56.1,51.8,56.8,67.7,-,33.3,2016,United States
125,University of Erlangen- Nuremberg Germany,"36,146",53.9,9%,49:51:00,56,51.7,39.7,75.2,99.4,47,2016,Germany
126,"Rutgers, the State University of New Jersey United States","37,032",17.3,8%,51:49:00,56,43.9,55.7,75.4,35.9,34.7,2016,United States
127,University of Münster Germany,"39,838",46.1,8%,53:47:00,55.9,40.3,44.1,85.6,58.2,46.3,2016,Germany
128,Radboud University Nijmegen Netherlands,"17,713",13,10%,58:42:00,55.9,34.3,48.5,84.9,39.2,60.9,2016,Netherlands
129,University of Colorado Boulder United States,"29,325",16.1,8%,45:55:00,55.8,39.7,37.6,96.4,35.7,36.6,2016,United States
130,Tufts University United States,"10,410",10,14%,54:46:00,55.8,45.2,33.3,90.1,60.7,49.4,2016,United States
131,"Royal Holloway, University of London United Kingdom","8,747",15.9,37%,57:43:00,55.7,35.1,33.2,91.2,34.4,92.7,2016,United Kingdom
132,Lancaster University United Kingdom,"11,512",14.9,33%,52:48:00,55.6,34,41.4,85.3,33.6,87,2016,United Kingdom
133,University of Geneva Switzerland,"15,668",15,39%,61:39:00,55.4,34.9,40.5,78.5,72.4,98.5,2016,Switzerland
134,University of York United Kingdom,"14,543",15.8,26%,55:45:00,55.4,41.9,46.3,73.1,31.1,83.5,2016,United Kingdom
135,Case Western Reserve University United States,"9,259",6.4,17%,48:52:00,55.3,46.1,33.2,92,34.1,40.5,2016,United States
136,University of Leeds United Kingdom,"27,703",14.7,21%,58:42:00,55.3,43.7,39,79.2,36.7,77.4,2016,United Kingdom
137,University of Oslo Norway,"27,139",18.8,18%,,55.1,43.3,44.7,75.5,38.3,68.2,2016,Norway
138,Stockholm University Sweden,"31,715",23.7,8%,62:38:00,54.8,34.1,51.2,82.5,31.1,48.5,2016,Sweden
139,University of Alberta Canada,"36,299",21.6,23%,55:45:00,54.7,46.4,48.1,63.6,47.4,80.7,2016,Canada
140,Chinese University of Hong Kong Hong Kong,"17,916",10.2,22%,53:47:00,54.5,41.5,48.5,68.4,37.5,81.1,2016,Hong Kong
141,Karlsruhe Institute of Technology Germany,"25,294",24.6,16%,26 : 74,54.5,37.7,47.5,73.8,99.5,56.7,2016,Germany
142,University of Sussex United Kingdom,"12,001",17.4,35%,54:46:00,54.4,33.4,37.2,86.1,30.6,88.3,2016,United Kingdom
143,University of Massachusetts United States,"56,959",13,11%,49:51:00,54.3,40.2,36.3,88.1,52.2,48.9,2016,United States
144,University of Vienna Austria,"34,651",20.5,25%,67:33:00,54.2,40.8,50.5,63.6,30.2,92.6,2016,Austria
145,University of Nottingham United Kingdom,"30,144",15,27%,54:46:00,54.1,40.3,39,77.5,39.8,80.6,2016,United Kingdom
146,"University of California, Santa Cruz United States","17,404",22.7,1%,53:47:00,53.9,31.1,34.2,99.9,36.1,45.6,2016,United States
147,University of Lausanne Switzerland,"11,964",13.1,22%,,53.9,30.9,45.6,76.2,56,89.2,2016,Switzerland
148,Autonomous University of Barcelona Spain,"30,538",12.3,10%,59:41:00,53.8,40.3,40,83.8,34.9,50.3,2016,Spain
149,University of Virginia ( Main campus) United States,"23,845",10.2,12%,52:48:00,53.3,38.8,37.5,87.3,37.9,43.4,2016,United States
150,Korea Advanced Institute of Science and Technology ( K A I S T) South Korea,"9,027",10,9%,0.888888889,53,43.3,40.5,75.9,100,33.9,2016,South Korea
151,University of Adelaide Australia,"20,771",30.1,26%,48:52:00,52.9,32.8,43.2,72.4,79.3,85.1,2016,Australia
152,University of East Anglia United Kingdom,"14,992",14.7,28%,58:42:00,52.9,31.9,28.7,92.7,28.5,83.5,2016,United Kingdom
153,University of Twente Netherlands,"6,631",12,26%,37 : 63,52.9,34.1,45.6,68.8,91.2,80.1,2016,Netherlands
154,Sungkyunkwan University ( S K K U) South Korea,"24,365",20.3,9%,39 : 61,52.8,51.4,53.5,53.8,97.5,36.7,2016,South Korea
155,Vrije Universiteit Amsterdam Netherlands,"23,280",16.3,6%,56:44:00,52.5,28.4,37.1,90.7,60.1,54.9,2016,Netherlands
156,K T H Royal Institute of Technology Sweden,"12,062",14.6,21%,30 : 70,52.4,39,44.3,63.9,78.1,84.4,2016,Sweden
157,University of Cologne Germany,"43,280",43.4,11%,60:40:00,52.3,42.2,38,75,68.5,53.1,2016,Germany
158,University of Liverpool United Kingdom,"18,815",13.6,30%,52:48:00,52.2,32.8,30.9,85.9,36.6,85.4,2016,United Kingdom
159,T U Dresden Germany,"35,487",37.4,12%,42:58:00,52.1,41.4,45.8,66.1,99.7,47.7,2016,Germany
160,University of Rochester United States,"9,390",4.5,26%,49:51:00,52.1,39.7,27.9,89,37,55.8,2016,United States
161,Lomonosov Moscow State University Russian Federation,"30,822",7.7,20%,43:57:00,51.9,75.4,66.7,8.6,95.7,57.8,2016,Russian Federation
162,University of Miami United States,"15,286",5.7,14%,50:50:00,51.9,41.7,22.3,90.1,35.5,64,2016,United States
163,University of Arizona United States,"36,429",12.7,8%,52:48:00,51.7,38.7,41.8,79.5,32.4,38.6,2016,United States
164,Pompeu Fabra University Spain,"10,901",18.3,13%,59:41:00,51.2,32.9,28,90.7,37.2,63.3,2016,Spain
165,University of Reading United Kingdom,"12,050",14.8,28%,55:45:00,51.2,39.3,37.3,69.9,34.2,85.1,2016,United Kingdom
166,Yeshiva University United States,"6,753",5.5,7%,53:47:00,51.2,44.8,23.7,92.8,-,28.5,2016,United States
167,"University of California, Riverside United States","20,626",22,12%,51:49:00,51.1,27.5,33.3,91.2,42.5,59.5,2016,United States
168,University of Leicester United Kingdom,"14,541",13.4,35%,54:46:00,51.1,32.1,27.8,86,31.7,86.6,2016,United Kingdom
169,National Taiwan University ( N T U) Taiwan,"31,891",11.9,7%,39 : 61,51.1,54.1,58,47.3,49.6,27.7,2016,Taiwan
170,Technical University of Denmark Denmark,"9,990",5,18%,27 : 73,51.1,37.3,29.9,77.8,50,85.1,2016,Denmark
171,Université Catholique de Louvain Belgium,"28,856",42,19%,54:46:00,51.1,38.7,40.6,68.4,51,74.2,2016,Belgium
172,University of Aberdeen United Kingdom,"12,938",15.8,33%,54:46:00,51,29.7,31.4,82.6,43.1,91.4,2016,United Kingdom
173,University of Auckland New Zealand,"29,787",18.9,28%,54:46:00,51,31.4,39.5,69.8,78,90.5,2016,New Zealand
174,University of Barcelona Spain,"47,491",12.2,10%,62:38:00,50.9,38.5,37.4,78.9,31.1,49.2,2016,Spain
175,University of Konstanz Germany,"10,930",59.1,12%,54:46:00,50.8,38.5,46.7,61.9,92.4,58.3,2016,Germany
176,Eindhoven University of Technology Netherlands,"8,176",16,14%,0.847916667,50.6,34.3,41,70.7,57.3,71.3,2016,Netherlands
177,University College Dublin Ireland,"22,193",24.5,23%,,50.6,35,38.5,70.8,33.5,86.3,2016,Ireland
178,Hebrew University of Jerusalem Israel,"17,612",10.7,5%,55:45:00,50.5,45.8,41.4,64.6,31.9,55.6,2016,Israel
179,University of Waterloo Canada,"30,726",24.2,14%,45:55:00,50.3,35.4,43.9,66.5,39.5,74.4,2016,Canada
180,University of Gothenburg Sweden,"26,420",16.4,12%,,50.2,28.5,39.8,81.8,30.3,58.3,2016,Sweden
181,Sant’ Anna School of Advanced Studies – Pisa Italy,769,8.5,17%,35 : 65,50.2,42.5,23.2,84.5,71.2,45.2,2016,Italy
182,University of Bergen Norway,"11,623",11.1,12%,60:40:00,50.1,32.5,31.5,82.4,36.2,70,2016,Norway
183,Cardiff University United Kingdom,"23,347",13.1,23%,57:43:00,50.1,30.9,31.6,82,34.6,78.1,2016,United Kingdom
184,University of Utah United States,"25,674",16.9,9%,45:55:00,50.1,35.6,35.3,83.7,57.4,30.1,2016,United States
185,Brandeis University United States,"5,495",12.6,22%,55:45:00,49.9,28.3,25.7,97.3,38.6,47,2016,United States
186,University of Dundee United Kingdom,"11,628",15.3,25%,60:40:00,49.9,25.6,26.9,90.2,49.5,78.5,2016,United Kingdom
187,University of Würzburg Germany,"26,576",38.4,8%,57:43:00,49.9,34.6,35.8,79.1,47.9,50.9,2016,Germany
188,Paris- Sud University France,"27,603",15,17%,,49.8,38.7,29,79.8,28.8,64.2,2016,France
189,Arizona State University ( Tempe) United States,"83,236",29.9,9%,50:50:00,49.7,32.4,38.1,84.6,32,31.9,2016,United States
190,University of Antwerp Belgium,"12,346",30.3,16%,56:44:00,49.6,31.6,40.8,71.7,60.3,64.8,2016,Belgium
191,Boston College United States,"13,216",17.4,19%,54:46:00,49.6,34.1,29.3,83.3,46.8,60,2016,United States
192,Ulm University Germany,"9,187",11.2,10%,47:53:00,49.5,35.2,23.9,86.4,58.4,58.2,2016,Germany
193,University of Luxembourg Luxembourg,"5,144",15.9,52%,50:50:00,49.4,25,26.7,84.8,38.1,99.8,2016,Luxembourg
194,Texas A& M University United States,"50,657",21.4,9%,47:53:00,49.4,49.4,52.4,47.1,46.4,47.8,2016,United States
195,Charité - Universitätsmedizin Berlin Germany,"6,853",6.6,16%,64:36:00,49.3,37.3,22.2,83.8,68.4,61.1,2016,Germany
196,Newcastle University United Kingdom,"20,174",15.2,29%,50:50:00,49.2,30.9,27.5,81.5,34.7,84.3,2016,United Kingdom
197,"St George’s, University of London United Kingdom","2,958",13.4,17%,61:39:00,49.2,25.6,18.1,100,37.7,69.5,2016,United Kingdom
198,University of Trento Italy,"16,841",43.2,8%,51:49:00,49.1,30.8,27.4,87.7,47.1,55.9,2016,Italy
199,Paris Diderot University – Paris 7 France,"27,756",14.8,17%,63:37:00,48.9,30.5,22.9,91,29,64.9,2016,France
200,Queen’s University Belfast United Kingdom,"17,940",17.9,30%,54:46:00,48.8,34.1,33.3,68.9,35.7,93.4,2016,United Kingdom
201,Aalborg University Denmark,"17,422",15.9,15%,48:52:00,-,25.1,28.4,73.8,43.7,71,2016,Denmark
202,"Birkbeck, University of London United Kingdom","9,454",17.2,38%,55:45:00,-,33.5,35.1,66.3,28.5,89.9,2016,United Kingdom
203,University of Bologna Italy,"85,532",22.9,7%,56:44:00,-,39.3,29.5,73,34.5,39.9,2016,Italy
204,University at Buffalo United States,"25,668",19,19%,47:53:00,-,36.5,37.9,62,43.8,60.6,2016,United States
205,University of Calgary Canada,"28,341",16.5,17%,53:47:00,-,33.9,36.7,67.8,52,70.1,2016,Canada
206,Chalmers University of Technology Sweden,"8,605",11.6,15%,30 : 70,-,36.6,35.3,52.2,79.5,77.6,2016,Sweden
207,City University of Hong Kong Hong Kong,"10,015",7.1,28%,51:49:00,-,32.1,26.7,76.8,50.1,81.6,2016,Hong Kong
208,Copenhagen Business School Denmark,"18,293",42.7,19%,48:52:00,-,19.3,26.5,79.4,35.3,88.5,2016,Denmark
209,Dalhousie University Canada,"15,064",14.4,18%,55:45:00,-,30.4,29.4,65.2,50.3,78.3,2016,Canada
210,University of São Paulo Brazil,"81,402",14.6,4%,48:52:00,-,60.9,68.6,20.4,40.3,25.3,2016,Brazil
211,University of Duisburg- Essen Germany,"36,051",46.6,11%,49:51:00,-,32.3,27,81.3,82.3,48.5,2016,Germany
212,École Normale Supérieure de Lyon France,"2,218",8,14%,49:51:00,-,41.6,30,69,31.7,65.6,2016,France
213,Florida State University United States,"41,226",31.8,7%,55:45:00,-,38.5,40.1,64.7,32,41.6,2016,United States
214,University of Fribourg Switzerland,"10,416",46.9,19%,58:42:00,-,32.3,32.9,64.1,60.8,87.4,2016,Switzerland
215,Fudan University China,"32,175",12.2,11%,50:50:00,-,44.7,30.4,61.1,28,38.6,2016,China
216,University of Iceland Iceland,"13,960",25.9,8%,66:34:00,-,16.8,27.1,91.4,58.8,61,2016,Iceland
217,George Washington University United States,"20,541",12,16%,56:44:00,-,44.7,23.5,65.7,29.5,48.1,2016,United States
218,Goethe University Frankfurt Germany,"31,861",9.3,15%,60:40:00,-,35.8,28.6,79.3,38.1,60.2,2016,Germany
219,University of Hawai’i at Mānoa United States,"16,773",11.1,13%,55:45:00,-,32,35.5,67.7,44.7,63.4,2016,United States
220,Hong Kong Polytechnic University Hong Kong,"22,064",25.9,26%,51:49:00,-,29.3,35.2,63.3,45.1,79,2016,Hong Kong
221,University of Illinois at Chicago United States,"24,313",9.2,17%,53:47:00,-,40.9,29.2,63.2,38,58.1,2016,United States
222,Indiana University United States,"62,468",13.6,13%,53:47:00,-,43,27.3,74.8,-,41.2,2016,United States
223,University of Iowa United States,"27,526",11.6,11%,52:48:00,-,41,26.7,73.5,54.1,32.3,2016,United States
